"order_id";"cart_size";"num_customizations";"has_food_item";"drink_category_id"
"ORD_00000001";5;0;"False";5
"ORD_00000002";1;3;"False";1
"ORD_00000003";2;1;"False";1
"ORD_00000004";2;1;"False";5
"ORD_00000005";3;1;"False";3
"ORD_00000006";5;1;"True";1
"ORD_00000007";3;0;"False";2
"ORD_00000008";5;6;"True";1
"ORD_00000009";2;2;"False";3
"ORD_00000010";3;1;"False";5
"ORD_00000011";4;4;"False";6
"ORD_00000012";4;1;"False";2
"ORD_00000013";5;5;"False";3
"ORD_00000014";2;4;"True";2
"ORD_00000015";4;1;"True";4
"ORD_00000016";4;2;"True";6
"ORD_00000017";2;3;"False";2
"ORD_00000018";2;2;"False";6
"ORD_00000019";6;1;"True";3
"ORD_00000020";1;1;"True";3
"ORD_00000021";2;2;"False";4
"ORD_00000022";4;2;"False";3
"ORD_00000023";4;2;"False";2
"ORD_00000024";3;2;"False";3
"ORD_00000025";2;2;"False";3
"ORD_00000026";3;0;"False";6
"ORD_00000027";5;5;"True";6
"ORD_00000028";1;0;"False";4
"ORD_00000029";5;1;"True";5
"ORD_00000030";4;2;"True";5
"ORD_00000031";8;2;"False";3
"ORD_00000032";6;6;"True";1
"ORD_00000033";3;3;"False";5
"ORD_00000034";6;2;"False";4
"ORD_00000035";10;3;"True";1
"ORD_00000036";5;0;"True";4
"ORD_00000037";3;3;"True";1
"ORD_00000038";5;1;"True";5
"ORD_00000039";2;0;"False";6
"ORD_00000040";2;3;"False";3
"ORD_00000041";6;2;"True";2
"ORD_00000042";2;1;"False";2
"ORD_00000043";2;1;"True";4
"ORD_00000044";6;0;"False";2
"ORD_00000045";2;3;"False";6
"ORD_00000046";6;0;"False";4
"ORD_00000047";2;0;"False";3
"ORD_00000048";3;1;"False";5
"ORD_00000049";2;4;"False";1
"ORD_00000050";6;3;"False";6
"ORD_00000051";2;3;"False";4
"ORD_00000052";1;1;"False";5
"ORD_00000053";7;5;"False";4
"ORD_00000054";4;0;"True";6
"ORD_00000055";3;0;"True";2
"ORD_00000056";1;2;"False";5
"ORD_00000057";1;2;"False";3
"ORD_00000058";5;1;"False";4
"ORD_00000059";2;1;"False";6
"ORD_00000060";4;1;"True";1
"ORD_00000061";2;1;"False";1
"ORD_00000062";2;3;"False";3
"ORD_00000063";6;4;"False";3
"ORD_00000064";4;6;"False";3
"ORD_00000065";7;2;"True";1
"ORD_00000066";4;3;"False";3
"ORD_00000067";3;0;"False";5
"ORD_00000068";8;2;"True";3
"ORD_00000069";4;0;"False";2
"ORD_00000070";7;1;"False";1
"ORD_00000071";5;0;"False";5
